track_id,track_start_datetime,track_end_datetime,track_length_images,n_detection_rows,representative_image_path,representative_crop_status,binary_class,order_name,regional_species_rank_1_name,global_family_rank_1_name,global_genus_rank_1_name,global_species_rank_1_name,mean_total_cost,track_duration_minutes,is_single_image_track
Track_002420,02/09/2025 00:20,02/09/2025 00:20,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T172001.jpg,crop_1,nonmoth,Lepidoptera Micros,Tinea pellionella,Pyralidae,Plodia,Plodia interpunctella,,0,TRUE
Track_002421,02/09/2025 00:22,02/09/2025 00:22,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T172202.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002422,02/09/2025 00:28,02/09/2025 00:28,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T172805.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002423,02/09/2025 00:34,02/09/2025 00:34,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T173408.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002424,02/09/2025 00:36,02/09/2025 00:36,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T173609.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002425,02/09/2025 00:38,02/09/2025 00:38,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T173810.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002426,02/09/2025 00:40,02/09/2025 00:40,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T174011.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002427,02/09/2025 00:42,02/09/2025 00:42,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T174212.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002428,02/09/2025 00:44,02/09/2025 00:44,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T174413.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002429,02/09/2025 00:46,02/09/2025 00:46,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T174614.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002430,02/09/2025 00:50,02/09/2025 00:50,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T175016.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002431,02/09/2025 00:52,02/09/2025 00:52,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T175217.jpg,crop_1,nonmoth,Diptera Brachycera,,,,,,0,TRUE
Track_002432,02/09/2025 00:54,02/09/2025 00:54,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T175418.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002433,02/09/2025 00:56,02/09/2025 00:56,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T175619.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002434,02/09/2025 00:58,02/09/2025 00:58,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T175820.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002435,02/09/2025 01:10,02/09/2025 01:10,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T181026.jpg,crop_1,nonmoth,Lepidoptera Micros,Cryptothelea gloverii,Pyralidae,Plodia,Plodia interpunctella,,0,TRUE
Track_002436,02/09/2025 01:12,02/09/2025 01:12,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T181227.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002437,02/09/2025 01:14,02/09/2025 01:14,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T181428.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002438,02/09/2025 02:08,02/09/2025 02:08,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T190855.jpg,crop_1,moth,Lepidoptera Micros,Tineola bisselliella,Erebidae,Katha,Katha depressa,,0,TRUE
